timestamp,step,rc,seconds
17 Sep 2026 01:13:59,Figure5_for_QJE,0,4.39
17 Sep 2026 01:14:22,Figure6_for_QJE,0,.
17 Sep 2026 01:15:14,Appendix_Figure_A1,0,51.218
17 Sep 2026 01:16:53,Appendix_imputation_rate,0,98.953
17 Sep 2026 01:17:20,Appendix_self_employment_rate,0,27.472
17 Sep 2026 01:34:33,Table4_for_QJE,0,592.793
17 Sep 2026 04:20:53,../dofiles_estuse/Figure2_for_QJE_estuse,0,167.978
17 Sep 2026 04:28:42,../dofiles_estuse/Table2_for_QJE_estuse,0,468.989
17 Sep 2026 04:35:34,../dofiles_estuse/Figure4_for_QJE_estuse,0,411.938
17 Sep 2026 05:00:08,Appendix_Figure_A4,0,11.486
17 Sep 2026 05:00:10,Appendix_Figure_A7,0,2.26
17 Sep 2026 05:52:08,../dofiles_estuse/Appendix_Figure_A8_estuse,0,551.836
17 Sep 2026 05:52:11,Appendix_Figures_A9_A10,0,2.781
17 Sep 2026 05:52:36,Appendix_Table_A1_A2_CK,0,10.94
17 Sep 2026 05:53:28,Appendix_Table_A1_A2_demog,0,52.172
17 Sep 2026 05:53:57,Appendix_Table_A7,0,28.988
17 Sep 2026 05:54:10,Appendix_Figures_C1_C3,0,13.011
17 Sep 2026 05:54:17,Appendix_Figure_C2,0,6.768
17 Sep 2026 05:54:29,Appendix_Figure_C4,0,11.54
17 Sep 2026 05:58:10,Appendix_Figure_D1,0,.
17 Sep 2026 06:01:38,Appendix_Figure_D2,0,.
17 Sep 2026 06:01:41,Appendix_Figure_F1_Table_F1_rows_3_4_5,0,2.909
17 Sep 2026 06:01:43,Appendix_Table_F1_cols_1_2,0,2.054
17 Sep 2026 06:01:50,Appendix_Figure_F2,0,7.056
17 Sep 2026 06:01:55,Appendix_Figure_F3,0,4.561
17 Sep 2026 06:01:55,Appendix_Table_F2,0,.116
17 Sep 2026 06:02:05,Appendix_Figure_F4,0,9.521000000000001
17 Sep 2026 06:02:13,Appendix_Figures_G1_A_G3_A_C_G6,0,8.099
17 Sep 2026 06:02:22,Appendix_Figures_G1_B_G3_B_D,0,9.093
17 Sep 2026 06:02:32,Appendix_Figures_G2_A_C,0,.
17 Sep 2026 06:03:05,Appendix_Figures_G2_B_D,0,32.946
17 Sep 2026 06:03:14,Appendix_Figure_G4_Table_G6,0,8.722
17 Sep 2026 06:03:23,Appendix_Figure_G5,0,8.564
17 Sep 2026 06:03:28,Appendix_TableG2_col1,198,4.651
17 Sep 2026 06:03:34,Appendix_TableG2_cols_2_3_4,0,6.21
17 Sep 2026 06:03:59,Appendix_Tables_G3_G4_G7,0,24.981
17 Sep 2026 06:04:06,Appendix_Table_G5,111,6.855
17 Sep 2026 06:04:15,Appendix_Table_G5_EB,0,8.738
17 Sep 2026 06:05:19,Appendix_Table_G8,0,63.809
17 Sep 2026 06:05:19,Appendix_Table_A4,601,.009
17 Sep 2026 08:09:16,Table3_for_QJE,0,12821.65
17 Sep 2026 08:44:13,Appendix_Table_A5,0,9533.83
17 Sep 2026 08:44:13,Appendix_Table_A4_col9,198,.001
17 Sep 2026 14:39:37,Appendix_Figure_D3_Table_D1_cols2_4,0,14746.858
17 Sep 2026 20:25:00,Appendix_Table_D1,0,.
17 Sep 2026 20:25:00,Appendix_Table_F3,601,.017
17 Sep 2026 20:25:30,../dofiles_patched/Appendix_TableG2_col1_patched,199,2.036
17 Sep 2026 20:26:20,Appendix_Figure_A6,0,36.897
17 Sep 2026 20:26:31,Appendix_Figure_F5,0,11.017
17 Sep 2026 20:26:31,Appendix_Table_A1_A2,601,.056
17 Sep 2026 22:00:03,Table1_for_QJE,0,79073.801
18 Sep 2026 01:09:49,../dofiles_patched/Appendix_Table_A4_col9_patched,0,16983.606
18 Sep 2026 01:13:26,../dofiles_patched/Appendix_Table_F3_patched,0,44.232
18 Sep 2026 01:13:30,../dofiles_patched/Appendix_TableG2_col1_patched,0,4.364
