="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="Political Turnover",="Political Turnover",="Promotion (=1)",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Promotion (=1)",="Political Turnover",="Political Turnover"
="main",="",="",="",="",="",="",="",="",="",=""
="Princeling Purchase (=1)",="0.469***",="0.432***",="0.088***",="",="",="0.079",="0.093",="-0.008",="",=""
="",="(0.070)",="(0.077)",="(0.012)",="",="",="(0.094)",="(0.108)",="(0.011)",="",=""
="Princeling Discounts",="",="",="",="0.100***",="",="",="",="",="0.012",=""
="",="",="",="",="(0.006)",="",="",="",="",="(0.008)",=""
="Area of Land Purchased",="",="",="",="",="0.927***",="",="",="",="",="0.000"
="",="",="",="",="",="(0.066)",="",="",="",="",="(0.047)"
="Factional Ties",="",="0.169**",="0.012",="0.191**",="0.129",="",="-0.027",="-0.014",="-0.021",="-0.026"
="",="",="(0.073)",="(0.011)",="(0.080)",="(0.082)",="",="(0.101)",="(0.010)",="(0.101)",="(0.101)"
="GDP Growth",="",="-0.316",="-0.099",="-0.699",="-0.686",="",="2.798***",="0.365***",="2.726***",="2.771***"
="",="",="(0.559)",="(0.087)",="(0.616)",="(0.650)",="",="(0.761)",="(0.076)",="(0.761)",="(0.770)"
="Tax Revenue Growth",="",="-0.455",="0.003",="-0.588",="-0.298",="",="1.097**",="0.064",="1.087**",="1.074**"
="",="",="(0.398)",="(0.061)",="(0.429)",="(0.444)",="",="(0.523)",="(0.052)",="(0.523)",="(0.524)"
="/",="",="",="",="",="",="",="",="",="",=""
="cut1",="-3.025***",="43.482***",="",="52.078***",="56.385***",="-5.303***",="-10.947",="",="-10.181",="-11.274"
="",="(0.487)",="(8.848)",="",="(9.588)",="(9.869)",="(0.495)",="(10.799)",="",="(10.856)",="(10.790)"
="cut2",="-1.838***",="44.785***",="",="53.417***",="57.710***",="-4.039***",="-9.695",="",="-8.933",="-10.023"
="",="(0.478)",="(8.851)",="",="(9.592)",="(9.873)",="(0.485)",="(10.800)",="",="(10.857)",="(10.791)"
="cut3",="1.807***",="48.582***",="",="57.622***",="62.050***",="0.930**",="-4.314",="",="-3.546",="-4.649"
="",="(0.479)",="(8.863)",="",="(9.609)",="(9.893)",="(0.464)",="(10.781)",="",="(10.839)",="(10.771)"
="Observations",="3237",="2756",="2756",="2755",="2756",="3048",="2569",="2569",="2568",="2568"
="Adjusted R-squared",="",="",="0.049",="",="",="",="",="0.374",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
